op,src,dst,bytes
BARRIER,-1,-1,0
BARRIER,-1,-1,0
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
PUT,0,1,262144
PUT,1,2,262144
PUT,2,3,262144
PUT,1,0,262144
PUT,2,1,262144
PUT,3,2,262144
BARRIER,-1,-1,0
PUT,0,0,34078720
PUT,1,0,34078720
PUT,2,0,34078720
PUT,3,0,34078720
