pe_id,throughput,data_size,epoch_size,group,op,num_pe
0,510837.10,1,1,atomic,fetch-add32,1
0,465369.33,1,2,atomic,fetch-add32,1
0,459458.34,1,4,atomic,fetch-add32,1
0,459506.85,1,8,atomic,fetch-add32,1
0,458390.46,1,16,atomic,fetch-add32,1
0,460584.52,1,32,atomic,fetch-add32,1
0,464935.71,1,64,atomic,fetch-add32,1
0,471036.37,1,128,atomic,fetch-add32,1
0,493011.61,1,1,atomic,fetch-add32,2
1,492992.12,1,1,atomic,fetch-add32,2
0,483013.11,1,2,atomic,fetch-add32,2
1,482968.55,1,2,atomic,fetch-add32,2
0,483533.47,1,4,atomic,fetch-add32,2
1,483530.40,1,4,atomic,fetch-add32,2
0,481563.89,1,8,atomic,fetch-add32,2
1,481470.20,1,8,atomic,fetch-add32,2
0,485437.83,1,16,atomic,fetch-add32,2
1,485451.39,1,16,atomic,fetch-add32,2
0,487281.20,1,32,atomic,fetch-add32,2
1,487969.39,1,32,atomic,fetch-add32,2
0,488319.89,1,64,atomic,fetch-add32,2
1,488399.47,1,64,atomic,fetch-add32,2
0,493882.56,1,128,atomic,fetch-add32,2
1,493577.41,1,128,atomic,fetch-add32,2
0,275788.15,1,1,atomic,fetch-add32,4
1,275820.75,1,1,atomic,fetch-add32,4
2,275791.66,1,1,atomic,fetch-add32,4
3,275807.50,1,1,atomic,fetch-add32,4
0,476886.53,1,2,atomic,fetch-add32,4
1,476985.04,1,2,atomic,fetch-add32,4
2,476966.39,1,2,atomic,fetch-add32,4
3,477030.60,1,2,atomic,fetch-add32,4
0,482553.96,1,4,atomic,fetch-add32,4
1,482564.22,1,4,atomic,fetch-add32,4
2,482559.97,1,4,atomic,fetch-add32,4
3,482588.35,1,4,atomic,fetch-add32,4
0,483044.34,1,8,atomic,fetch-add32,4
1,483167.33,1,8,atomic,fetch-add32,4
2,483072.35,1,8,atomic,fetch-add32,4
3,483139.07,1,8,atomic,fetch-add32,4
0,485781.85,1,16,atomic,fetch-add32,4
1,485879.72,1,16,atomic,fetch-add32,4
2,485974.90,1,16,atomic,fetch-add32,4
3,485980.86,1,16,atomic,fetch-add32,4
0,485916.34,1,32,atomic,fetch-add32,4
1,486084.57,1,32,atomic,fetch-add32,4
2,485917.22,1,32,atomic,fetch-add32,4
3,486186.50,1,32,atomic,fetch-add32,4
0,487185.70,1,64,atomic,fetch-add32,4
1,488265.34,1,64,atomic,fetch-add32,4
2,487774.46,1,64,atomic,fetch-add32,4
3,487576.47,1,64,atomic,fetch-add32,4
0,488965.41,1,128,atomic,fetch-add32,4
1,490062.87,1,128,atomic,fetch-add32,4
2,489862.07,1,128,atomic,fetch-add32,4
3,490149.39,1,128,atomic,fetch-add32,4
0,140788.97,1,1,atomic,fetch-add32,8
1,140804.18,1,1,atomic,fetch-add32,8
2,140802.27,1,1,atomic,fetch-add32,8
3,140800.98,1,1,atomic,fetch-add32,8
4,140797.76,1,1,atomic,fetch-add32,8
5,140796.35,1,1,atomic,fetch-add32,8
6,140783.76,1,1,atomic,fetch-add32,8
7,140778.75,1,1,atomic,fetch-add32,8
0,270858.22,1,2,atomic,fetch-add32,8
1,270998.82,1,2,atomic,fetch-add32,8
2,270979.28,1,2,atomic,fetch-add32,8
3,270975.83,1,2,atomic,fetch-add32,8
4,270995.78,1,2,atomic,fetch-add32,8
5,270965.81,1,2,atomic,fetch-add32,8
6,270969.56,1,2,atomic,fetch-add32,8
