pe_id,throughput,data_size,epoch_size,group,op,num_pe
0,463119.22,1,1,atomic,fetch-add32,1
0,464439.60,1,2,atomic,fetch-add32,1
0,457938.85,1,4,atomic,fetch-add32,1
0,465583.36,1,8,atomic,fetch-add32,1
0,458422.80,1,16,atomic,fetch-add32,1
0,461473.33,1,32,atomic,fetch-add32,1
0,466131.82,1,64,atomic,fetch-add32,1
0,466593.44,1,128,atomic,fetch-add32,1
0,460276.78,1,1,atomic,fetch-add32,2
1,460156.39,1,1,atomic,fetch-add32,2
0,480814.52,1,2,atomic,fetch-add32,2
1,481010.73,1,2,atomic,fetch-add32,2
0,476725.34,1,4,atomic,fetch-add32,2
1,477594.54,1,4,atomic,fetch-add32,2
0,484768.89,1,8,atomic,fetch-add32,2
1,484772.31,1,8,atomic,fetch-add32,2
0,486392.85,1,16,atomic,fetch-add32,2
1,486908.84,1,16,atomic,fetch-add32,2
0,490505.44,1,32,atomic,fetch-add32,2
1,487773.57,1,32,atomic,fetch-add32,2
0,489756.19,1,64,atomic,fetch-add32,2
1,490431.51,1,64,atomic,fetch-add32,2
0,495144.16,1,128,atomic,fetch-add32,2
1,494344.80,1,128,atomic,fetch-add32,2
0,294963.15,1,1,atomic,fetch-add32,4
1,294994.21,1,1,atomic,fetch-add32,4
2,294979.51,1,1,atomic,fetch-add32,4
3,295006.05,1,1,atomic,fetch-add32,4
0,467027.36,1,2,atomic,fetch-add32,4
1,467083.79,1,2,atomic,fetch-add32,4
2,467125.35,1,2,atomic,fetch-add32,4
3,467194.58,1,2,atomic,fetch-add32,4
0,476256.04,1,4,atomic,fetch-add32,4
1,476309.03,1,4,atomic,fetch-add32,4
2,476262.56,1,4,atomic,fetch-add32,4
3,476215.43,1,4,atomic,fetch-add32,4
0,477521.39,1,8,atomic,fetch-add32,4
1,477476.52,1,8,atomic,fetch-add32,4
2,477607.22,1,8,atomic,fetch-add32,4
3,477568.75,1,8,atomic,fetch-add32,4
0,481457.49,1,16,atomic,fetch-add32,4
1,478581.32,1,16,atomic,fetch-add32,4
2,481645.73,1,16,atomic,fetch-add32,4
3,481644.66,1,16,atomic,fetch-add32,4
0,481518.24,1,32,atomic,fetch-add32,4
1,481807.57,1,32,atomic,fetch-add32,4
2,481373.68,1,32,atomic,fetch-add32,4
3,481951.78,1,32,atomic,fetch-add32,4
0,486924.86,1,64,atomic,fetch-add32,4
1,487083.37,1,64,atomic,fetch-add32,4
2,487610.82,1,64,atomic,fetch-add32,4
3,487709.68,1,64,atomic,fetch-add32,4
0,491375.71,1,128,atomic,fetch-add32,4
1,491624.86,1,128,atomic,fetch-add32,4
2,492278.01,1,128,atomic,fetch-add32,4
3,491867.80,1,128,atomic,fetch-add32,4
0,150759.02,1,1,atomic,fetch-add32,8
1,150736.27,1,1,atomic,fetch-add32,8
2,150763.27,1,1,atomic,fetch-add32,8
3,150752.01,1,1,atomic,fetch-add32,8
4,150738.01,1,1,atomic,fetch-add32,8
5,150732.49,1,1,atomic,fetch-add32,8
6,150734.67,1,1,atomic,fetch-add32,8
7,150730.87,1,1,atomic,fetch-add32,8
0,296578.00,1,2,atomic,fetch-add32,8
1,296603.98,1,2,atomic,fetch-add32,8
2,296654.96,1,2,atomic,fetch-add32,8
3,296600.47,1,2,atomic,fetch-add32,8
4,296635.31,1,2,atomic,fetch-add32,8
5,296628.87,1,2,atomic,fetch-add32,8
6,296647.10,1,2,atomic,fetch-add32,8
7,296583.58,1,2,atomic,fetch-add32,8
0,462241.36,1,4,atomic,fetch-add32,8
1,462290.27,1,4,atomic,fetch-add32,8
2,462302.00,1,4,atomic,fetch-add32,8
3,462238.75,1,4,atomic,fetch-add32,8
4,462273.22,1,4,atomic,fetch-add32,8
5,462234.28,1,4,atomic,fetch-add32,8
6,462230.41,1,4,atomic,fetch-add32,8
7,462269.36,1,4,atomic,fetch-add32,8
0,465022.33,1,8,atomic,fetch-add32,8
1,465219.41,1,8,atomic,fetch-add32,8
