op_type,size
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,32
BARRIER,0
BARRIER,0
PUT,96
BARRIER,0
BARRIER,0
BARRIER,0
BARRIER,0
