pe_id,throughput,data_size,epoch_size
0,486997.44,1,1
0,487631.70,2,1
0,485396.36,4,1
0,488132.51,8,1
0,486429.28,16,1
0,478332.33,32,1
0,492907.75,64,1
0,474720.25,128,1
0,455422.15,256,1
0,433166.93,512,1
0,379575.68,1024,1
0,323321.44,2048,1
0,260194.10,4096,1
0,141786.52,8192,1
0,95840.88,16384,1
0,961567.66,1,2
0,965355.39,2,2
0,965089.01,4,2
0,961936.98,8,2
0,916827.32,16,2
0,945676.44,32,2
0,928921.55,64,2
0,897644.69,128,2
0,719508.95,256,2
0,693344.10,512,2
0,572134.90,1024,2
0,507943.91,2048,2
0,279814.88,4096,2
0,145388.58,8192,2
0,97812.52,16384,2
0,1685688.40,1,4
0,1726942.45,2,4
0,1685261.37,4,4
0,1723737.54,8,4
0,1679588.69,16,4
0,1685796.15,32,4
0,1629345.80,64,4
0,1573667.59,128,4
0,1211122.54,256,4
0,1135090.93,512,4
0,935440.29,1024,4
0,708160.17,2048,4
0,289840.05,4096,4
0,197357.27,8192,4
0,99744.15,16384,4
0,2826940.04,1,8
0,2821262.92,2,8
0,2824070.47,4,8
0,2832066.77,8,8
0,2751987.11,16,8
0,2764178.76,32,8
0,2781697.05,64,8
0,2552228.29,128,8
0,2001242.33,256,8
0,1596447.73,512,8
0,1407729.52,1024,8
0,582042.01,2048,8
0,294027.63,4096,8
0,148716.14,8192,8
0,100045.20,16384,8
0,4079434.67,1,16
0,4086456.64,2,16
0,4082859.21,4,16
0,4075317.27,8,16
0,4069830.61,16,16
0,3977641.67,32,16
0,3962755.38,64,16
0,3833856.65,128,16
0,3290335.72,256,16
0,2508613.53,512,16
0,1162278.44,1024,16
0,589262.33,2048,16
0,396719.56,4096,16
0,201005.46,8192,16
0,77698.74,16384,16
0,5324304.09,1,32
0,5308285.11,2,32
0,5321570.68,4,32
0,5318467.69,8,32
0,5314595.88,16,32
0,5199479.51,32,32
0,5188854.32,64,32
0,5030020.78,128,32
0,4307346.11,256,32
0,2290652.13,512,32
0,1558878.25,1024,32
0,793917.25,2048,32
0,453519.59,4096,32
0,229133.24,8192,32
0,77737.47,16384,32
0,6270992.41,1,64
0,6267416.80,2,64
0,6260892.43,4,64
0,6266180.94,8,64
0,6268951.70,16,64
0,6098330.41,32,64
0,6089180.04,64,64
0,5890349.22,128,64
0,5176615.89,256,64
0,3048594.50,512,64
0,1179792.39,1024,64
0,615537.69,2048,64
0,309359.83,4096,64
0,229659.36,8192,64
0,114598.79,16384,64
0,6882251.70,1,128
0,6877597.94,2,128
0,6874897.05,4,128
0,6879235.63,8,128
0,6879680.75,16,128
0,6679997.82,32,128
0,6667685.14,64,128
0,6560630.21,128,128
0,5783365.17,256,128
0,2336769.28,512,128
0,1808286.92,1024,128
0,903623.28,2048,128
0,455658.04,4096,128
0,154771.17,8192,128
0,114187.02,16384,128
0,7232617.80,1,256
0,7233822.15,2,256
0,7233954.38,4,256
0,7230860.78,8,256
0,7228392.46,16,256
0,7019201.99,32,256
0,7018468.97,64,256
0,6926803.00,128,256
0,6006367.21,256,256
0,2464336.73,512,256
0,1229333.78,1024,256
0,905671.96,2048,256
0,453293.36,4096,256
0,227460.39,8192,256
0,114088.11,16384,256
0,7426021.91,1,512
0,7422437.33,2,512
0,7426783.11,4,512
0,7428366.94,8,512
0,7421885.32,16,512
0,7204514.35,32,512
0,7202318.50,64,512
0,7117286.67,128,512
0,6701168.00,256,512
0,3625687.73,512,512
0,1813984.89,1024,512
0,891343.10,2048,512
0,307611.55,4096,512
0,154321.68,8192,512
0,114281.76,16384,512
0,7527549.75,1,1024
0,7524933.63,2,1024
0,7529499.71,4,1024
0,7527153.89,8,1024
0,7529884.16,16,1024
0,7302870.36,32,1024
0,7300419.54,64,1024
0,7225834.14,128,1024
0,4912685.68,256,1024
0,3619764.67,512,1024
0,1800060.59,1024,1024
0,869854.78,2048,1024
0,450032.55,4096,1024
0,154363.06,8192,1024
0,114239.81,16384,1024
0,443597.45,1,1
1,443600.17,1,1
0,446723.11,2,1
1,446725.87,2,1
0,444933.80,4,1
1,444935.81,4,1
0,449842.11,8,1
1,449845.12,8,1
0,446798.03,16,1
1,446800.36,16,1
0,447819.47,32,1
1,447822.57,32,1
0,430138.83,64,1
1,430141.92,64,1
0,430375.90,128,1
1,430378.49,128,1
0,409597.29,256,1
1,409600.53,256,1
0,380298.10,512,1
1,380300.02,512,1
0,346516.51,1024,1
1,346519.40,1024,1
0,302431.74,2048,1
1,302434.81,2048,1
0,245633.64,4096,1
1,245636.00,4096,1
0,138400.91,8192,1
1,138402.01,8192,1
0,95659.58,16384,1
1,95660.31,16384,1
0,846540.92,1,2
1,846547.02,1,2
0,867291.07,2,2
1,867297.14,2,2
0,873953.18,4,2
1,873958.53,4,2
0,857712.33,8,2
1,857716.63,8,2
0,865431.99,16,2
1,865437.66,16,2
0,835418.77,32,2
1,835424.03,32,2
0,831898.20,64,2
1,831903.95,64,2
0,782948.40,128,2
1,782952.56,128,2
0,671625.68,256,2
1,671630.58,256,2
0,624620.09,512,2
1,624624.84,512,2
0,540608.52,1024,2
1,540613.47,1024,2
0,484534.62,2048,2
1,484539.63,2048,2
0,276120.59,4096,2
1,276122.91,4096,2
0,191525.03,8192,2
1,191526.62,8192,2
0,73933.12,16384,2
1,73933.51,16384,2
0,1549549.25,1,4
1,1549558.02,1,4
0,1593980.49,2,4
1,1593990.15,2,4
0,1548528.13,4,4
1,1548536.11,4,4
0,1544072.25,8,4
1,1544083.34,8,4
0,1550431.13,16,4
1,1550440.45,16,4
0,1506641.83,32,4
1,1506649.28,32,4
0,1482950.92,64,4
1,1482959.90,64,4
0,1408513.84,128,4
1,1408524.06,128,4
0,1142946.96,256,4
1,1142955.28,256,4
0,1081113.40,512,4
1,1081122.63,512,4
0,900972.73,1024,4
1,900978.29,1024,4
0,287024.70,4096,4
1,287027.20,4096,4
0,194884.79,8192,4
1,194886.31,8192,4
0,74260.56,16384,4
1,74261.20,16384,4
0,2610922.99,1,8
1,2610937.42,1,8
0,2596985.07,2,8
1,2597000.07,2,8
0,2623687.52,4,8
1,2623701.18,4,8
0,2612974.46,8,8
1,2612990.00,8,8
0,2618669.54,16,8
1,2618685.35,16,8
0,2612768.41,32,8
1,2612785.97,32,8
0,2479682.41,64,8
1,2479699.58,64,8
0,2322525.46,128,8
1,2322536.49,128,8
0,1932560.96,256,8
1,1932570.62,256,8
0,1545383.42,512,8
1,1545385.54,512,8
0,1104614.34,1024,8
1,1104621.04,1024,8
0,577371.87,2048,8
1,577376.75,2048,8
0,293216.32,4096,8
1,293218.73,4096,8
0,149871.98,8192,8
1,149872.83,8192,8
0,74648.63,16384,8
1,74649.29,16384,8
0,3922033.71,1,16
1,3922043.02,1,16
0,3915796.18,2,16
1,3915812.81,2,16
0,3909332.76,4,16
1,3909349.86,4,16
0,3940152.93,8,16
1,3940170.33,8,16
0,3929673.83,16,16
1,3929692.11,16,16
0,3862598.36,32,16
1,3862617.18,32,16
0,3777162.55,64,16
1,3777184.76,64,16
0,3586709.69,128,16
1,3586729.73,128,16
0,2903552.62,256,16
1,2903574.02,256,16
0,2168631.22,512,16
1,2168650.66,512,16
0,1508095.58,1024,16
1,1508107.80,1024,16
0,777135.66,2048,16
1,777141.95,2048,16
0,296208.23,4096,16
1,296210.77,4096,16
0,199808.49,8192,16
1,199810.09,8192,16
0,77432.88,16384,16
1,77433.60,16384,16
0,5185585.32,1,32
1,5185600.75,1,32
0,5217841.76,2,32
1,5217857.86,2,32
0,5198679.92,4,32
1,5198692.85,4,32
0,5159315.98,8,32
1,5159320.71,8,32
0,5225932.20,16,32
1,5225949.44,16,32
0,5138948.65,32,32
1,5138969.14,32,32
0,5098332.93,64,32
1,5098364.12,64,32
0,4814487.53,128,32
1,4814517.86,128,32
0,3925780.23,256,32
1,3925813.30,256,32
0,2262385.93,512,32
1,2262405.75,512,32
0,1166719.00,1024,32
1,1166729.19,1024,32
0,790597.89,2048,32
1,790603.96,2048,32
0,307199.68,4096,32
1,307202.48,4096,32
0,154803.65,8192,32
1,154805.09,8192,32
0,77643.45,16384,32
1,77644.18,16384,32
0,6241839.25,1,64
1,6241848.35,1,64
0,6214453.07,2,64
1,6214463.18,2,64
0,6089195.66,4,64
1,6089200.94,4,64
0,6092978.84,8,64
1,6092989.61,8,64
0,6091152.71,16,64
1,6091169.79,16,64
0,6162384.56,32,64
1,6162404.74,32,64
0,6158558.86,64,64
1,6158588.29,64,64
0,5849782.82,128,64
1,5849827.39,128,64
0,5125386.10,256,64
1,5125437.83,256,64
0,3028071.11,512,64
1,3028093.28,512,64
0,1563524.94,1024,64
