data_size,window_size,throughput
1024,1,449508.88
1024,2,666916.47
1024,4,1077888.40
1024,8,1944422.85
1024,16,2824781.71
1024,32,4032005.17
1024,64,5094351.99
1024,128,6115220.37
2048,1,428868.24
2048,2,624458.72
2048,4,975514.50
2048,8,1526591.49
2048,16,2202894.11
2048,32,3228209.82
2048,64,4441303.14
2048,128,5478379.42
4096,1,335666.85
4096,2,489405.82
4096,4,751222.15
4096,8,1130663.03
4096,16,1715520.16
4096,32,2505529.47
4096,64,3220540.30
4096,128,3888977.57
8192,1,277688.61
8192,2,392357.41
8192,4,599541.53
8192,8,912825.96
8192,16,1264459.53
8192,32,1677799.42
8192,64,1970064.36
8192,128,2155761.11
16384,1,255844.79
16384,2,257092.72
16384,4,256124.89
16384,8,264962.30
16384,16,274588.19
16384,32,0.00
16384,64,0.00
16384,128,0.00
